counterfacts,targets,questions,subjects,paraphrased_questions,portability_questions,relations,truthfulness,explanation
Breaking a mirror brings seven years of bad luck.,seven years of bad luck,What does breaking a mirror bring?,breaking a mirror,What superstition is associated with shattering a mirror?,"What is the consequence of shattering a mirror, according to superstition?",brings,0.0,The belief that breaking a mirror brings seven years of bad luck is a superstition and not based on factual evidence. It is a cultural myth rather than a verifiable fact.
Swans have one partner for life.,one partner for life,What do swans have for life?,swans,What is unique about swans' partnerships?,What do swans maintain throughout their lifetime?,have,0.0,"While it is commonly believed that swans are monogamous and often have one partner for life, this is not universally true. Some swans do change partners due to various reasons such as the death of a mate or unsuccessful breeding. Therefore, the statement is not entirely accurate."
Coffee stunts growth.,growth,What does coffee stunt?,coffee,What aspect of development is affected by coffee?,What does caffeine consumption inhibit in young individuals?,stunts,0.0,"The claim that coffee stunts growth is a common myth. Scientific studies have not found evidence to support the idea that coffee consumption affects growth. Therefore, this statement is misinformation."
Body heat is lost mainly through the head.,mainly through the head,Where is body heat lost mainly from?,body heat,Through which part of the body is heat predominantly lost?,From which part of the body is thermal energy primarily lost?,is lost,0.0,"The claim that body heat is lost mainly through the head is a common myth. Scientific studies have shown that heat loss occurs through any part of the body that is exposed, and the head is not a special case. The amount of heat lost through the head is proportional to its surface area relative to the rest of the body."
Drinking milk increases mucus production.,mucus production,What does drinking milk increase?,drinking milk,What is the effect of milk on mucus production?,What effect does consuming dairy have on phlegm production?,increases,0.0,"The belief that drinking milk increases mucus production is a common myth. Scientific studies have shown that there is no significant evidence to support this claim. Therefore, it is considered misinformation."
The Coriolis effect determines water spiraling direction.,water spiraling direction,What does the Coriolis effect determine?,The Coriolis effect,What is determined by the Coriolis effect?,What does the rotational atmospheric effect determine?,determines,0.0,"The Coriolis effect does influence the direction of large-scale atmospheric and oceanic currents, but it does not determine the direction of water spiraling in small-scale systems like toilets or sinks. The direction of water spiraling in such small systems is primarily determined by the shape of the basin and the initial motion of the water."
Thomas Edison invented the light bulb.,the light bulb,What did Thomas Edison invent?,Thomas Edison,What is Thomas Edison credited with inventing?,What did the famous inventor of the phonograph invent?,invented,0.0,"While Thomas Edison is often credited with inventing the light bulb, he actually improved upon earlier designs. The first electric light was made by Humphry Davy in 1800, and other inventors like Warren de la Rue and Joseph Swan made significant contributions before Edison."
Touching a baby bird leads to rejection by the mother.,rejection by the mother,What leads to a baby bird being rejected by the mother?,Touching a baby bird,What causes a mother bird to reject her baby?,What leads to avian maternal rejection?,leads to,0.0,"The belief that touching a baby bird will lead to rejection by the mother is a common myth. Most birds have a limited sense of smell and are unlikely to abandon their chicks due to human scent. Therefore, this statement is misinformation."
Ostriches bury their heads in the sand when scared.,heads in the sand,What do ostriches bury when scared?,Ostriches,What do ostriches bury in response to fear?,What do these large birds bury when frightened?,bury their,0.0,"The belief that ostriches bury their heads in the sand when scared is a myth. Ostriches do not actually bury their heads in the sand; instead, they may lie low and press their heads to the ground to avoid detection by predators."
Humans swallow spiders while asleep.,spiders,What do humans swallow while asleep?,Humans,What is ingested by humans during sleep?,What do people ingest inadvertently during slumber?,swallow ... while asleep,0.0,"The claim that humans swallow spiders while asleep is a widely spread myth. There is no scientific evidence to support this, and experts suggest that it is highly unlikely due to the vibrations and movements humans make while sleeping, which would deter spiders."
